ID_Transacao,Data_Envio,ID_Cliente,Valor_Frete_USD,Status_Entrega
1,17/05/2026,78,79.05,EM TRANSITO
2,03/08/2026,9,,EM TRANSITO
3,2026-08-12,44,186.95,em transito
4,2025-11-21,80,68.85,entregue
5,2026-01-27,58,118.7,Cancelado
6,30/01/2026,77,6.27,em transito
7,2026-07-04,32,169.8,EM TRANSITO
8,2026-06-29,27,20.57,ENTREGUE
9,2026-02-22,33,169.9,em transito
10,20/08/2026,54,178.68,cancelado
11,2026-08-22,16,,Cancelado
12,09/05/2026,47,,CANCELADO
13,2026-01-27,61,123.64,ENTREGUE
14,16/02/2026,37,120.51,Cancelado
15,2026-03-17,13,58.31,Entregue
16,20/11/2025,54,110.48,cancelado
17,26/04/2026,2,78.03,Em Transito
18,2026-04-05,22,151.82,cancelado
19,29/06/2026,54,104.46,Em Transito
20,21/04/2026,64,117.39,ENTREGUE
21,27/04/2026,35,17.61,EM TRANSITO
22,03/02/2026,47,84.09,entregue
23,2025-12-27,41,187.22,EM TRANSITO
24,2026-04-03,15,147.98,cancelado
25,2025-11-14,39,81.19,ENTREGUE
26,08/06/2026,65,10.93,em transito
27,20/09/2025,46,132.31,cancelado
28,20/01/2026,13,101.41,Entregue
29,2026-03-26,25,65.04,Em Transito
30,16/02/2026,3,78.15,Entregue
31,2026-02-24,11,65.4,Cancelado
32,06/10/2025,31,25.73,entregue
33,2025-12-03,80,137.85,CANCELADO
34,25/06/2026,25,180.3,EM TRANSITO
35,14/05/2026,40,63.55,EM TRANSITO
36,20/10/2025,59,181.43,entregue
37,16/12/2025,76,101.13,Entregue
38,01/10/2025,38,30.37,Entregue
39,2026-08-02,80,181.16,entregue
40,2026-03-13,76,99.9,em transito
41,2026-05-01,58,112.22,ENTREGUE
42,2025-11-10,13,43.28,Cancelado
43,2026-06-11,57,97.92,CANCELADO
44,26/02/2026,6,125.13,Entregue
45,2025-10-29,6,105.81,EM TRANSITO
46,2026-05-25,76,,Entregue
47,04/03/2026,68,74.91,Em Transito
48,2026-02-02,8,17.65,entregue
49,21/03/2026,29,21.78,Cancelado
50,23/02/2026,37,128.03,Cancelado
51,2026-01-27,4,40.76,em transito
52,18/04/2026,74,161.46,CANCELADO
53,13/09/2025,26,115.47,ENTREGUE
54,14/09/2025,15,106.51,Cancelado
